,Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
3514,Spyro: Attack of the Rhynocs,GBA,2003,Platform,72.0,7.5,6
3515,Monsters vs. Aliens,PS3,2009,Action,66.0,4.5,12
3520,Karaoke Revolution Party,PS2,2005,Misc,78.0,,12
3521,Burnout,GC,2002,Racing,78.0,7.9,6
3522,Lizzie McGuire 3: Homecoming Havoc,GBA,2005,Platform,59.0,,6
3523,Chaos Legion,PS2,2003,Action,65.0,8.2,16
3524,Charlie and the Chocolate Factory,GBA,2005,Adventure,36.0,3.8,6
3525,Neopets: The Darkest Faerie,PS2,2005,Adventure,61.0,8.5,12
3528,24: The Game,PS2,2006,Adventure,62.0,8.2,18
3531,Magna Carta 2,X360,2009,Role-Playing,69.0,7.0,16
3532,Looney Tunes: Duck Amuck,DS,2007,Action,66.0,,6
3533,Romance of the Three Kingdoms VIII,PS2,2002,Strategy,77.0,8.9,6
3535,Crazy Taxi: Catch a Ride,GBA,2003,Racing,48.0,5.9,6
3536,Final Fantasy XI: Wings of the Goddess,X360,2007,Role-Playing,63.0,5.8,16
3538,Jonas,DS,2009,Adventure,45.0,,6
3539,Rayman 2: Revolution,PS2,2000,Platform,90.0,8.2,6
3541,Army Men: Air Attack 2,PS,2000,Action,74.0,5.3,16
3542,Stranglehold,PS3,2007,Shooter,77.0,7.9,18
3543,Pride FC: Fighting Championships,PS2,2003,Fighting,73.0,8.6,18
3544,Eternal Ring,PS2,2000,Role-Playing,62.0,5.3,16
3545,Resident Evil Archives: Resident Evil,Wii,2008,Action,76.0,8.9,18
3546,Dynasty Warriors 6,X360,2007,Action,60.0,7.4,16
3547,Silent Hill: Shattered Memories,PSP,2010,Action,73.0,7.5,18
3548,Dance Dance Revolution Universe 3,X360,2008,Simulation,65.0,7.7,6
3549,Showdown: Legends of Wrestling,PS2,2004,Fighting,55.0,6.1,16
3551,Full Spectrum Warrior,PS2,2005,Strategy,74.0,8.0,18
3552,The Sims 2: Pets,PS2,2006,Simulation,68.0,8.0,16
3553,Spirit: Stallion of the Cimarron,GBA,2002,Platform,46.0,,6
3554,MySims Party,DS,2009,Simulation,64.0,,6
3556,Shark Tale,GC,2004,Action,69.0,,6
3557,MLB SlugFest Loaded,PS2,2004,Sports,77.0,9.5,16
3558,Teenage Mutant Ninja Turtles,XB,2003,Action,56.0,8.4,6
3559,Capcom Classics Collection Remixed,PSP,2006,Misc,72.0,7.0,16
3560,1701 A.D.,PC,2006,Simulation,79.0,8.3,12
3563,Spider-Man 3,PSP,2007,Platform,52.0,7.4,16
3564,Radiant Historia,DS,2010,Role-Playing,85.0,9.0,12
3566,Harry Potter and the Order of the Phoenix,X360,2007,Action,68.0,6.8,12
3567,Grandia II,PS2,2002,Role-Playing,71.0,8.6,16
3568,Shaun White Snowboarding: World Stage,Wii,2009,Sports,72.0,8.7,6
3569,Spider-Man: Friend or Foe,X360,2007,Action,60.0,6.3,12
3570,Guitar Hero: Van Halen,X360,2009,Misc,57.0,5.8,16
3571,Batman: The Brave and the Bold the Videogame,DS,2010,Action,74.0,8.0,12
3572,The Sims 2,PC,2004,Simulation,90.0,8.8,16
3573,Need for Speed Underground,GBA,2003,Racing,77.0,8.2,6
3574,Def Jam Rapstar,X360,2010,Misc,74.0,5.4,16
3575,Outlaw Golf,XB,2002,Sports,72.0,6.9,16
3576,MySims SkyHeroes,Wii,2010,Action,67.0,5.2,12
3577,Mini Ninjas,X360,2009,Action,73.0,8.4,12
3578,Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002,Adventure,67.0,,16
3579,NBA Street V3,GC,2005,Sports,88.0,8.4,6
3580,Nicktoons: Battle for Volcano Island,DS,2006,Action,59.0,,6
3581,WinBack: Covert Operations,PS2,2000,Shooter,66.0,7.7,16
3582,Syphon Filter: Dark Mirror,PSP,2006,Shooter,87.0,9.0,18
3583,Glory of Heracles,DS,2008,Role-Playing,69.0,7.3,12
3584,Up,X360,2009,Action,61.0,6.8,12
3586,NBA Live 06,X360,2005,Sports,64.0,5.6,6
3587,ExerBeat,Wii,2010,Sports,60.0,7.6,6
3588,Need for Speed: Most Wanted,PC,2005,Racing,82.0,8.5,16
3589,Front Mission Evolved,PS3,2010,Shooter,58.0,6.0,16
3591,Little King's Story,Wii,2009,Strategy,87.0,8.8,16
3592,Dynasty Warriors: Strikeforce,PS3,2009,Action,64.0,7.3,16
3593,NieR,X360,2010,Role-Playing,67.0,8.3,18
3594,Zoo Tycoon 2 DS,DS,2008,Strategy,60.0,5.4,6
3595,Area 51,XB,2005,Shooter,72.0,8.1,18
3598,Wanted: Weapons of Fate,PS3,2009,Shooter,61.0,7.1,18
3599,Mega Man X8,PS2,2004,Platform,68.0,8.5,6
3600,The Chronicles of Riddick: Assault on Dark Athena,X360,2009,Shooter,82.0,8.2,18
3601,Ford Mustang: The Legend Lives,PS2,2005,Racing,58.0,7.3,6
3602,FlatOut: Head On,PSP,2008,Racing,74.0,8.2,16
3603,Duel Masters: Sempai Legends,GBA,2003,Misc,69.0,8.0,6
3604,John Deere: Harvest in the Heartland,DS,2007,Simulation,43.0,,6
3605,Harvest Moon: Magical Melody,Wii,2008,Simulation,69.0,8.8,6
3606,Heroes of the Pacific,PS2,2005,Simulation,76.0,8.4,16
3607,Prince of Persia: Rival Swords,Wii,2007,Action,70.0,7.7,16
3608,The Lord of the Rings: The Third Age,GC,2004,Role-Playing,74.0,7.8,16
3609,Trace Memory,DS,2005,Adventure,70.0,8.1,16
3610,X-Men Legends II: Rise of Apocalypse,PSP,2005,Role-Playing,84.0,8.2,16
3612,Madden NFL 08,XB,2007,Sports,76.0,6.0,6
3613,Trauma Center: New Blood,Wii,2007,Simulation,77.0,8.0,16
3615,Pirates of the Caribbean,XB,2003,Role-Playing,65.0,7.4,16
3617,Ace Combat: Joint Assault,PSP,2010,Simulation,71.0,7.2,16
3618,The BIGS 2,Wii,2009,Sports,68.0,8.5,12
3619,Turning Point: Fall of Liberty,X360,2008,Shooter,43.0,6.8,16
3621,Shrek Super Party,PS2,2002,Misc,30.0,5.1,6
3622,MLB Power Pros,Wii,2007,Sports,83.0,8.4,6
3623,"Sakura Wars: So Long, My Love",PS2,2005,Role-Playing,81.0,7.3,16
3624,Dynasty Tactics,PS2,2002,Strategy,79.0,8.1,16
3628,SimCity 4,PC,2003,Simulation,84.0,8.7,6
3629,Puzzle Quest: Challenge of the Warlords,Wii,2007,Puzzle,71.0,6.2,12
3630,Surf's Up,PS2,2007,Sports,60.0,,12
3631,Looney Tunes Racing,PS,2000,Racing,71.0,,6
3633,Sengoku Basara: Samurai Heroes,Wii,2010,Action,65.0,8.8,16
3634,Rayman 3: Hoodlum Havoc,PS2,2003,Platform,76.0,8.6,6
3635,Warriors Orochi 2,PSP,2008,Action,56.0,7.5,16
3636,Feel the Magic XY/XX,DS,2004,Puzzle,75.0,8.1,16
3637,Psi-Ops: The Mindgate Conspiracy,PS2,2004,Shooter,84.0,8.9,18
3638,Neopets Puzzle Adventure,DS,2008,Puzzle,70.0,,6
3639,Dead Rising: Chop Till You Drop,Wii,2009,Action,61.0,6.5,18
3640,Spyro: A Hero's Tail,GC,2004,Platform,62.0,8.3,6
3641,NASCAR 08,X360,2007,Racing,59.0,5.2,6
3643,Links 2004,XB,2003,Sports,80.0,9.0,6
3644,Majin and the Forsaken Kingdom,PS3,2010,Adventure,72.0,7.9,16
3646,Earthworm Jim,GBA,2001,Platform,72.0,5.7,6
3647,Tales of Phantasia,GBA,2003,Role-Playing,76.0,8.1,12
3648,Bratz: Super Babyz,DS,2008,Action,50.0,,6
3649,Monster 4x4: Masters of Metal,PS2,2003,Racing,48.0,8.3,6
3650,SingStar Country,PS2,2008,Misc,75.0,,16
3651,Disney's Extreme Skate Adventure,GBA,2003,Sports,70.0,,6
3652,Dragon Ball GT: Transformation,GBA,2005,Action,69.0,8.2,12
3654,The Warriors,XB,2005,Action,85.0,8.2,18
3655,Shadow Hearts,PS2,2001,Role-Playing,73.0,8.8,18
3656,Dragon Ball Z: Budokai Tenkaichi 2,Wii,2006,Fighting,72.0,8.5,16
3657,Street Hoops,XB,2002,Sports,58.0,8.0,16
3658,X-Men: Reign of Apocalypse,GBA,2001,Action,61.0,,6
3659,R: Racing Evolution,PS2,2003,Racing,66.0,6.2,16
3660,The Golden Compass,PS3,2007,Action,40.0,4.8,12
3661,ATV Quad Power Racing 2,GC,2003,Racing,70.0,9.0,6
3663,Marvel Nemesis: Rise of the Imperfects,XB,2005,Fighting,58.0,7.5,16
3664,Final Fantasy VI Advance,GBA,2006,Role-Playing,92.0,8.4,12
3666,Viewtiful Joe,PS2,2004,Action,90.0,8.5,16
3667,DeathSmiles,X360,2009,Shooter,76.0,8.4,16
3669,Bladestorm: The Hundred Years' War,PS3,2007,Action,58.0,7.9,16
3670,SAW,X360,2009,Action,59.0,7.4,18
3671,Chromehounds,X360,2006,Simulation,71.0,7.0,16
3672,Harry Potter and the Sorcerer's Stone,PS2,2003,Action,56.0,7.6,6
3673,Kung Fu Chaos,XB,2003,Fighting,68.0,8.5,16
3674,Shrek the Third,Wii,2007,Action,57.0,6.7,12
3675,Jackass the Game,PS2,2007,Action,58.0,6.6,18
3676,Pirates of the Caribbean: Dead Man's Chest,PSP,2006,Adventure,52.0,8.0,16
3677,Carol Vorderman's Sudoku,PS2,2006,Puzzle,75.0,,6
3680,Surf's Up,DS,2007,Sports,56.0,7.0,6
3681,Assassin's Creed II: Discovery,DS,2009,Action,69.0,7.3,16
3682,Syphon Filter: Dark Mirror,PS2,2007,Shooter,70.0,7.8,16
3683,Mission: Impossible - Operation Surma,PS2,2003,Platform,64.0,7.8,16
3684,MLB 07: The Show,PSP,2007,Sports,82.0,7.2,6
3685,Pitfall: The Mayan Adventure,GBA,2001,Platform,58.0,,6
3686,Driver: Parallel Lines,PS2,2006,Racing,69.0,6.9,18
3687,Mega Man ZX,DS,2006,Platform,76.0,8.3,6
3688,Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004,Fighting,46.0,4.7,18
3689,Disney's Treasure Planet,GBA,2002,Action,68.0,,6
3690,Guitar Hero: Van Halen,Wii,2009,Misc,50.0,5.2,16
3691,Dead or Alive,PS,1998,Fighting,84.0,8.6,16
3692,Dead to Rights: Retribution,PS3,2010,Shooter,60.0,5.9,18
3693,Wild ARMs 5,PS2,2006,Role-Playing,71.0,7.5,16
3694,NFL Blitz 20-02,PS2,2002,Sports,76.0,8.9,6
3696,Tony Hawk: Shred,PS3,2010,Sports,56.0,6.7,6
3697,NCAA March Madness 2005,XB,2004,Sports,80.0,7.8,6
3698,Kenka Bancho: Badass Rumble,PSP,2008,Action,70.0,7.5,16
3699,The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004,Action,65.0,,6
3700,Silent Hill 2: Restless Dreams,XB,2001,Action,84.0,8.3,18
3702,Bass Strike,PS2,2001,Sports,57.0,5.8,6
3703,NHL Hitz 20-03,PS2,2002,Sports,82.0,8.4,6
3704,Bionic Commando,X360,2009,Platform,70.0,7.3,18
3705,Monopoly Streets,X360,2010,Misc,66.0,6.6,6
3706,Trivial Pursuit,PS3,2009,Misc,66.0,7.1,6
3708,Real Pool,PS2,2000,Sports,54.0,,6
3709,Mister Mosquito,PS2,2001,Shooter,65.0,4.9,16
3711,Madagascar,XB,2005,Platform,71.0,,12
3712,Virtua Fighter 5 Online,X360,2007,Fighting,89.0,7.6,16
3713,Indiana Jones and the Staff of Kings,PS2,2009,Action,55.0,7.5,16
3715,Dave Mirra Freestyle BMX 2,GC,2001,Sports,78.0,7.7,16
3717,True Crime: New York City,XB,2005,Action,60.0,7.8,18
3718,Summer Heat Beach Volleyball,PS2,2003,Sports,65.0,7.7,16
3719,NCAA Basketball 09,PS2,2008,Sports,55.0,,6
3720,Avatar: The Last Airbender,Wii,2006,Adventure,56.0,5.8,12
3721,Castlevania: Aria of Sorrow,GBA,2003,Platform,91.0,9.1,16
3722,Myst III: Exile,PS2,2002,Adventure,57.0,7.0,6
3723,Shin Megami Tensei: Strange Journey,DS,2009,Role-Playing,80.0,8.7,18
3726,Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,75.0,8.3,12
3727,Q-Ball: Billiards Master,PS2,2000,Sports,65.0,,6
3728,Tao Feng: Fist of the Lotus,XB,2003,Fighting,65.0,6.5,18
3729,Guitar Hero: Van Halen,PS3,2009,Misc,59.0,4.7,16
3730,Dragon Ball Z: Budokai 2,GC,2004,Fighting,66.0,5.8,16
3731,Over the Hedge,DS,2006,Platform,71.0,6.4,6
3732,Motocross Maniacs Advance,GBA,2002,Racing,69.0,,6
3733,Siren: Blood Curse,PS3,2008,Action,78.0,8.1,18
3734,NHL Hitz 20-02,XB,2001,Sports,79.0,8.7,6
3736,Evil Dead: Hail to the King,PS,2000,Adventure,51.0,6.0,18
3738,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,67.0,8.1,6
3740,Rock Revolution,X360,2008,Misc,38.0,5.1,16
3742,WWII Aces,Wii,2008,Simulation,41.0,5.4,16
3743,Athens 2004,PS2,2004,Sports,61.0,7.2,6
3744,Pro Race Driver,PS2,2002,Racing,81.0,8.5,16
3745,Sydney 2000,PS,2000,Sports,57.0,,6
3746,Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003,Role-Playing,80.0,9.0,16
3747,Iron Man 2,X360,2010,Action,41.0,5.9,16
3748,Rocky: Legends,PS2,2004,Action,65.0,8.6,16
3749,NickToons: Racing,GBA,2002,Racing,78.0,,6
3750,The Warriors,PSP,2007,Action,81.0,7.8,18
3751,EyePet,PSP,2010,Simulation,57.0,,6
3752,RalliSport Challenge 2,XB,2004,Racing,87.0,9.1,6
3753,Pac-Pix,DS,2005,Puzzle,71.0,7.1,6
3756,Over the Hedge,GBA,2006,Platform,49.0,,6
3757,Wave Rally,PS2,2001,Racing,62.0,,6
3758,Disney's Chicken Little,GC,2005,Platform,67.0,,12
3759,NHL 07,X360,2006,Sports,79.0,5.3,12
3760,RollerCoaster Tycoon 3,PC,2004,Strategy,81.0,5.0,6
3761,Ty the Tasmanian Tiger,GC,2002,Platform,69.0,8.7,6
3762,WWE Road to WrestleMania X8,GBA,2002,Fighting,73.0,7.5,6
3763,Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004,Role-Playing,67.0,8.4,16
3764,NASCAR 06: Total Team Control,XB,2005,Racing,79.0,5.9,6
3765,BloodRayne 2,PS2,2004,Shooter,70.0,8.5,18
3767,The Club,X360,2008,Shooter,76.0,6.8,18
3768,NHL 2002,XB,2001,Sports,89.0,8.8,6
3771,Tiger Woods PGA Tour 07,PSP,2006,Sports,78.0,,6
3772,Shadow of Rome,PS2,2005,Action,75.0,8.3,18
3774,Harry Potter and the Order of the Phoenix,PS2,2007,Action,61.0,8.0,12
3775,Transformers: Cybertron Adventures,Wii,2010,Action,41.0,6.5,16
3776,Stuntman: Ignition,PS2,2007,Racing,71.0,6.4,16
3777,NHL 2K11,Wii,2010,Sports,62.0,5.8,12
3778,Fantastic 4,XB,2005,Action,62.0,6.6,16
3779,Mat Hoffman's Pro BMX,GBA,2001,Sports,71.0,,6
3780,MotoGP,PS2,2000,Racing,77.0,6.0,6
3783,R.U.S.E.,PC,2010,Strategy,76.0,8.1,16
3784,NBA Live 2004,GC,2003,Sports,84.0,9.0,6
3785,NASCAR Thunder 2003,XB,2002,Racing,84.0,,6
3786,NFL Street 3,PSP,2006,Sports,68.0,,6
3787,Reign of Fire,PS2,2002,Shooter,56.0,7.0,18
3788,Beyblade: Metal Masters,DS,2010,Action,65.0,,6
3789,The Sims 2: Pets,GC,2006,Simulation,66.0,7.3,16
3792,The BIGS,X360,2007,Sports,79.0,8.4,6
3793,Jurassic Park: Operation Genesis,PS2,2003,Simulation,75.0,8.9,16
3794,NBA ShootOut 2001,PS,2000,Sports,71.0,,6
3795,Knockout Kings 2002,XB,2002,Sports,78.0,7.9,16
3796,InuYasha: Feudal Combat,PS2,2005,Fighting,52.0,8.3,16
3797,R.U.S.E.,X360,2010,Strategy,78.0,7.0,16
3798,Duel Masters,PS2,2004,Strategy,66.0,8.3,6
3799,Super Collapse! 3,DS,2007,Puzzle,71.0,,6
3800,Ratatouille,X360,2007,Action,56.0,,6
3802,Boogie,DS,2007,Misc,58.0,,12
3803,NBA 07,PS3,2006,Sports,63.0,6.3,6
3805,My Japanese Coach,DS,2008,Misc,59.0,6.7,6
3806,Need for Speed: Most Wanted,DS,2005,Racing,45.0,6.1,6
3807,Section 8,X360,2009,Shooter,69.0,7.3,16
3808,ESPN NBA Basketball,XB,2003,Sports,87.0,8.2,6
3809,Lowrider,PS2,2002,Misc,46.0,8.4,16
3811,All-Pro Football 2K8,X360,2007,Sports,75.0,6.8,12
3812,Fish Tycoon,DS,2007,Simulation,46.0,7.0,6
3813,Plants vs. Zombies,X360,2010,Strategy,89.0,8.2,12
3815,Rune: Viking Warlord,PS2,2001,Action,53.0,7.3,18
3816,The Incredible Hulk,X360,2008,Action,55.0,6.4,16
3817,Panzer Dragoon Orta,XB,2002,Shooter,90.0,8.5,16
3818,America's Test Kitchen: Let's Get Cooking,DS,2010,Simulation,87.0,5.6,6
3819,Suikoden Tierkreis,DS,2008,Role-Playing,76.0,7.4,12
3820,Superman Returns,X360,2006,Action,51.0,6.2,16
3821,Shin Megami Tensei: Devil Survivor,DS,2009,Role-Playing,84.0,8.8,16
3823,MLB SlugFest 2006,PS2,2006,Sports,56.0,7.5,12
3824,Etrian Odyssey II: Heroes of Lagaard,DS,2008,Role-Playing,82.0,8.9,12
3825,The Incredible Hulk,PS3,2008,Action,55.0,6.8,16
3826,Deadly Premonition,X360,2010,Action,68.0,8.2,18
3827,Marvel Super Hero Squad: The Infinity Gauntlet,Wii,2010,Action,49.0,,12
3828,Ford Racing 3,PS2,2004,Racing,50.0,6.6,6
3830,Major League Baseball 2K10,Wii,2010,Sports,53.0,,6
3831,The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,GBA,2002,Action,55.0,,6
3832,Dragon Ball Z: Tenkaichi Tag Team,PSP,2010,Fighting,63.0,8.6,16
3834,Final Fantasy V Advance,GBA,2006,Role-Playing,83.0,7.2,6
3835,Star Trek: Invasion,PS,2000,Simulation,76.0,,6
3836,Star Wars: Bounty Hunter,GC,2002,Shooter,67.0,7.6,16
3838,Naruto: Ultimate Ninja Heroes,PSP,2006,Fighting,70.0,6.6,16
3840,Major League Baseball 2K9,Wii,2009,Sports,61.0,4.5,6
3842,Battlestations: Midway,X360,2007,Strategy,73.0,7.1,16
3843,Riding Spirits,PS2,2002,Racing,59.0,9.0,6
3845,MLB 09: The Show,PSP,2009,Sports,78.0,6.9,6
3846,Bust A Groove 2,PS,1999,Misc,66.0,8.9,6
3847,Armored Core: Nexus,PS2,2004,Simulation,73.0,8.7,16
3848,Evolution Skateboarding,PS2,2002,Sports,44.0,6.7,16
3849,Scene It? Twilight,Wii,2009,Misc,49.0,,16
3850,Outlaw Volleyball,XB,2003,Sports,77.0,8.4,18
3851,Batman: Vengeance,GC,2001,Adventure,70.0,5.8,16
3852,Spider-Man: Web of Shadows,PS3,2008,Action,67.0,7.9,16
3853,Legaia 2: Duel Saga,PS2,2001,Role-Playing,67.0,8.4,16
3854,Crash Nitro Kart,GC,2003,Racing,66.0,7.4,6
3855,Don King Boxing,Wii,2009,Sports,55.0,,16
3856,ExciteBots: Trick Racing,Wii,2009,Racing,77.0,8.6,6
3857,Frogger's Journey: The Forgotten Relic,GBA,2003,Action,59.0,,6
3858,Oddworld: Stranger's Wrath,XB,2005,Adventure,88.0,9.1,16
3859,King of Fighters: Maximum Impact,PS2,2004,Fighting,64.0,6.9,16
3862,We Cheer 2,Wii,2009,Simulation,64.0,,12
3863,Drakan: The Ancients' Gates,PS2,2002,Adventure,78.0,9.0,18
3865,Tony Hawk: Shred,X360,2010,Sports,53.0,6.6,6
3869,Tom Clancy's Splinter Cell: Double Agent,PS3,2007,Action,78.0,6.5,18
3870,Resident Evil: Deadly Silence,DS,2006,Action,71.0,8.4,18
3871,Legendary,X360,2008,Shooter,47.0,7.1,18
3872,Peter Jackson's King Kong: The Official Game of the Movie,X360,2005,Action,80.0,7.5,16
3873,Rayman DS,DS,2005,Platform,58.0,7.6,6
3874,ATV: Quad Power Racing,GBA,2002,Racing,49.0,,6
3875,All-Star Baseball 2003,XB,2002,Sports,79.0,8.1,6
3876,MTX Mototrax,PS2,2004,Racing,77.0,8.1,6
3877,NBA ShootOut 2004,PS2,2003,Sports,58.0,7.8,6
3878,Nancy Drew: The Mystery of the Clue Bender Society,DS,2008,Adventure,46.0,3.6,12
3879,Castlevania: Harmony of Dissonance,GBA,2002,Platform,87.0,8.2,16
3880,Formula One 2001,PS2,2001,Racing,73.0,6.0,6
3881,Pirates of the Caribbean: Dead Man's Chest,DS,2006,Adventure,63.0,8.6,16
3882,Baldur's Gate: Dark Alliance II,XB,2004,Role-Playing,77.0,7.9,16
3883,Madden NFL 2005,DS,2004,Sports,68.0,7.7,6
3884,MVP Baseball 2004,GC,2004,Sports,89.0,8.5,6
3885,Polarium,DS,2004,Puzzle,73.0,8.4,6
3886,Super Street Fighter II: Turbo Revival,GBA,2001,Fighting,84.0,7.4,16
3887,Secret Weapons Over Normandy,XB,2003,Simulation,77.0,8.8,16
3888,The Elder Scrolls IV: Oblivion,PC,2006,Role-Playing,94.0,8.1,18
3889,Metroid Prime Pinball,DS,2005,Misc,79.0,7.9,6
3890,Teen Titans,PS2,2006,Action,56.0,8.6,12
3891,Madden NFL 08,DS,2007,Sports,71.0,,6
3892,Bomberman Generation,GC,2002,Adventure,81.0,8.5,6
3893,Sega Rally Revo,PSP,2007,Racing,74.0,7.2,6
3894,Surfing H3O,PS2,2000,Sports,46.0,4.6,6
3895,NASCAR 09,X360,2008,Racing,69.0,7.8,6
3896,World Series of Poker,XB,2005,Misc,52.0,,12
3897,NASCAR 09,PS3,2008,Racing,65.0,7.5,6
3899,Walt Disney's The Jungle Book: Rhythm N'Groove,PS2,2003,Misc,56.0,,6
3900,Triple Play 2002,XB,2002,Sports,64.0,,6
3901,Monsters vs. Aliens,Wii,2009,Action,69.0,,12
3902,Silent Hunter 5: Battle of the Atlantic,PC,2010,Simulation,62.0,3.5,16
3903,Amped 2,XB,2003,Sports,80.0,7.7,6
3904,Final Fantasy Crystal Chronicles: Echoes of Time,Wii,2009,Role-Playing,64.0,5.6,12
3905,NHL 08,PS3,2007,Action,86.0,6.9,12
3907,Juiced 2: Hot Import Nights,PS3,2007,Racing,71.0,6.4,16
3909,The Powerpuff Girls: Chemical X-Traction,PS,2001,Action,30.0,6.3,6
3910,Dead or Alive Xtreme 2,X360,2006,Sports,53.0,6.7,18
3913,Men of Valor,XB,2004,Shooter,73.0,8.0,18
3914,Medal of Honor European Assault,GC,2005,Shooter,71.0,7.9,16
3915,Billy Hatcher and the Giant Egg,GC,2003,Platform,71.0,8.7,6
3916,NHL 08,X360,2007,Action,85.0,8.2,12
3917,Midway's Greatest Arcade Hits,GBA,2001,Misc,48.0,,6
3918,WipEout Fusion,PS2,2002,Racing,83.0,8.5,6
3919,Prison Break: The Conspiracy,PS3,2010,Action,42.0,3.8,16
3920,NHL 06,XB,2005,Sports,79.0,8.4,12
3922,Atari Anthology,XB,2004,Misc,68.0,,6
3923,Ultimate Fighting Championship,PS,2000,Fighting,53.0,7.4,16
3924,Animal Paradise,DS,2007,Simulation,49.0,,6
3925,XIII,XB,2003,Shooter,74.0,8.3,18
3926,Up,PS3,2009,Action,65.0,6.5,12
3927,Michael Jackson: The Experience,DS,2010,Misc,64.0,6.6,12
3928,MotoGP '07,X360,2007,Racing,78.0,7.3,6
3929,Cars,X360,2006,Racing,65.0,6.1,6
3931,Beyblade: Metal Fusion,DS,2009,Role-Playing,36.0,,6
3932,Madagascar: Escape 2 Africa,X360,2008,Action,62.0,,12
3934,The Mummy: Tomb of the Dragon Emperor,PS2,2008,Action,38.0,6.8,16
3935,Def Jam Vendetta,GC,2003,Fighting,81.0,8.5,16
3936,The Sims 2,XB,2005,Simulation,75.0,7.1,16
3937,Spider-Man: Web of Shadows,Wii,2008,Action,63.0,6.9,16
3939,World Series Baseball 2K3,PS2,2003,Sports,87.0,8.7,6
3940,Tony Hawk's Proving Ground,Wii,2007,Sports,57.0,6.2,16
3941,Indiana Jones and the Staff of Kings,PSP,2009,Action,63.0,7.8,16
3942,The Outfit,X360,2006,Action,70.0,7.5,18
3943,Don King Presents: Prizefighter,X360,2008,Sports,56.0,6.4,16
3944,Devil Kings,PS2,2005,Action,64.0,7.4,16
3945,Bolt,X360,2008,Adventure,57.0,7.1,12
3948,Dynasty Warriors 6,PS2,2008,Action,43.0,5.4,16
3949,America's Army: Rise of a Soldier,XB,2005,Shooter,70.0,7.4,16
3950,Grandia,PS,1999,Role-Playing,89.0,6.6,6
3951,Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006,Adventure,51.0,7.5,16
3952,"Ed, Edd n Eddy: The Mis-Edventures",GC,2005,Platform,55.0,7.9,6
3953,Cars: Mater-National Championship,PS2,2007,Racing,67.0,,6
3954,Armored Core 4,X360,2007,Simulation,65.0,7.2,16
3955,SBK Superbike World Championship,PS3,2008,Racing,59.0,6.1,12
3956,Indiana Jones and the Staff of Kings,DS,2009,Action,50.0,6.8,16
3957,X-Men Origins: Wolverine,Wii,2009,Action,53.0,6.1,16
3958,Disgaea 2: Dark Hero Days,PSP,2009,Role-Playing,83.0,7.1,16
3959,Major League Baseball 2K7,PS3,2007,Sports,74.0,4.7,6
3960,Final Fantasy XI: Chains of Promathia,PS2,2004,Role-Playing,77.0,8.0,16
3961,The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,Shooter,80.0,7.7,18
3962,X-Men Legends II: Rise of Apocalypse,GC,2005,Role-Playing,82.0,6.2,16
3963,Butt Ugly Martians: B.K.M. Battles,GBA,2002,Action,63.0,,6
3964,TV Superstars,PS3,2010,Misc,56.0,4.9,6
3968,Create,Wii,2010,Action,62.0,,6
3970,NBA Courtside 2002,GC,2002,Sports,71.0,7.4,6
3972,Classic NES Series: Excitebike,GBA,2004,Racing,66.0,,6
3974,Digimon World: Data Squad,PS2,2006,Role-Playing,43.0,8.0,12
3977,Racquet Sports,Wii,2010,Sports,51.0,8.6,6
3979,Far Cry Instincts Predator,X360,2006,Shooter,78.0,6.2,18
3982,Army Men: Sarge's Heroes 2,PS,2000,Shooter,48.0,7.3,16
3983,MLB,PSP,2005,Sports,80.0,7.9,6
3986,Britney's Dance Beat,PS2,2002,Misc,63.0,4.8,6
3987,Vexx,PS2,2003,Platform,63.0,7.6,16
3990,TimeSplitters: Future Perfect,PS2,2005,Shooter,84.0,9.1,18
3992,Harvest Moon: Magical Melody,GC,2005,Simulation,83.0,8.9,6
3993,Genma Onimusha,XB,2002,Action,83.0,8.6,18
3994,DK: King of Swing,GBA,2005,Platform,70.0,5.0,6
3995,Turning Point: Fall of Liberty,PS3,2008,Shooter,42.0,5.5,16
3997,Corvette,XB,2003,Racing,53.0,8.6,6
3998,Percy Jackson and the Olympians: The Lightning Thief,DS,2010,Role-Playing,56.0,6.9,12
3999,Fuel,PS3,2009,Racing,67.0,7.4,6
4000,NBA Live 10,PSP,2009,Sports,64.0,4.2,6
4001,Burnout 2: Point of Impact,XB,2003,Racing,88.0,5.1,6
4002,Super Monkey Ball Deluxe,PS2,2005,Misc,78.0,7.7,6
4003,Kill.Switch,XB,2003,Shooter,75.0,8.0,16
4004,Lunar: Silver Star Harmony,PSP,2009,Role-Playing,80.0,7.7,16
4005,Peter Jackson's King Kong: The Official Game of the Movie,GC,2005,Action,81.0,8.3,16
4006,Dancing With The Stars,Wii,2007,Misc,42.0,6.2,12
